image_id,engine,predicted_text,actual_text
001,paddleocr,"czigrat ingredients: palmolein oil, bengal gram potato, refined 1f flakes, potato starch, flour (besan), potato beans (moth dal) tapioca starch, tapary red chilli powder, flour, lodised salt, regulator (ins 330), black salt, acidity i pepper, clove, cardamom, dried black r, dried garlic powder, refined powder, ginger p sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical flavouring substances (mint) artificial allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (min) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten"
001,doctr,"ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, lodised salt, red chilli powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger powder, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (mint) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (min) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten"
001,tesseract,"-— u n l'!\ gl ""'tlt ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato stareh, tapioca starch, tapary beans (moth dal) flour, lodised salt, red chilli powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger powder, dried garlic powder, refined ~ sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (mint) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (min) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten"
002,paddleocr,"ingredients: milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)). for identification of manufacturing unit,","ingredients: milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)). for identification of manufacturing unit,"
002,doctr,"ingredients: milk solids,common soi spices 8 condiments à (1%),permitted stabilizer - (e 460(i). foridentification ofmanufacturing unit,","ingredients: milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)). for identification of manufacturing unit,"
002,tesseract,; i m 'y,"ingredients: milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)). for identification of manufacturing unit,"
003,paddleocr,"carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331). preservative (211). contains added flavours (natural flavouring substances) cdcmy","carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331). preservative (211). contains added flavours (natural flavouring substances)."
003,doctr,"carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331), preservative added flavours (natural (211). contains flavouring substancesi.","carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331). preservative (211). contains added flavours (natural flavouring substances)."
003,tesseract,"carbonated water ; ingredients: carbonated water, sugar, acidity [regulators l(,m, 3:%, preservative éﬂf} contains § added flavours (natural flavourinc substances:","carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331). preservative (211). contains added flavours (natural flavouring substances)."
004,paddleocr,"ingredients water, mango pulp (19.5 %), sugar, acidity regulators is33, is. evative nsi antioxidant(ins300). contains permitted synthetic food colour avatual flavouring substances (mango)) (ins-international numbering system).","ingredients water, mango pulp (19.5%), sugar, acidity regulators [ins330, ins331(iii)], preservatives (ins211, ins224, ins202) and antioxidant (ins300). contains permitted synthetic food colour (ins110) and added flavour [nature-identical flavouring substances (mango)] (ins-international numbering system)."
004,doctr,"ingredients water,mangopulp(19.5 %),sugar acidityregulators siins330,ins331(m) preservatressins211,ins21,ins224,ins2021and antioxidant ns300) - containsp permitted syntheticfoodc colour (insti0)andaded flavour inature-identical - flavouring substances (mango)) (ins-inter national numbering system)","ingredients water, mango pulp (19.5%), sugar, acidity regulators [ins330, ins331(iii)], preservatives (ins211, ins224, ins202) and antioxidant (ins300). contains permitted synthetic food colour (ins110) and added flavour [nature-identical flavouring substances (mango)] (ins-international numbering system)."
004,tesseract,"ingredients jater, mangopulp (19.5 %), sugar, acomyregulators [ins330, ins331(i), preseraties ins211, ins224, in5202) o antiondantins300). containspermitted synthetic f000 coloyg (is110)and added flavour [nature-identical fuduring substances (mango)) (nsnternational kumbering system),","ingredients water, mango pulp (19.5%), sugar, acidity regulators [ins330, ins331(iii)], preservatives (ins211, ins224, ins202) and antioxidant (ins300). contains permitted synthetic food colour (ins110) and added flavour [nature-identical flavouring substances (mango)] (ins-international numbering system)."
005,paddleocr,"ingredients: palmolein oil, bengal gram potato, refined flakes, potato starch, flour (besan), potato s (moth dal) tapary beans tapioca starch, chilli powder, salt, red flour, lodised (ins 330), black salt, acidity regulator clove, cardamom, dried black pepper, dried garlic powder, refined powder, ginger cumin powder, bay leaves, sugar, cinnamon and mint leaves nutmeg,","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves"
005,doctr,"ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, lodised salt, red chilli powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger powder, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves"
005,tesseract,"ingredients: potato, refined palmolein qil, bengal gram flour (besan), potato flakes, potato staren, tapioca starch, tapary beans (moth dal) flour, lodised salt, red chill powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger powder, dried garlic powder, refined ~ sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves"
006,paddleocr,"biscuits [sugar, cocoa solids, cocoa butter, dextrose ig agents [503(), 500 j. cocoa solids, 1odised salt and tances-vanilla in d fatty acid esters of glycerol] substances-","hide & seek biscuits ingredients: refined wheat flour (maida), chocolate (23%) [sugar, cocoa solids, cocoa butter, dextrose, emulsifier of vegetable origin (soya lecithin) and artificial flavouring substances-vanilla], sugar, refined pal oil, invert sugar syrup, raising agents [503 (ii), 500 (ii)], cocoa solids, iodised salt and emulsifier of vegeable origin (diacetyltartaric and fatty acid esters of glycerol). contains added flavours (artificial flavouring substances - vanilla)."
006,doctr,"- tgu hide & seek"" biscuits ingredients: refined wheat flour (manda), chocolate(23%) [sugar, v martelengatiort sugar, (soya lecithi in) andartificial cocoa solios, cocoa butter, refined palm oil, invert sugar syrup, raising agents trentessestangsinga dextrose, in emulsifier of vegetable origin [503(u),500 dl cocoa vanillaj, contains added - dinceivltartaricandtatiyaciot esters solids, iodised flavour (artificial flavouring subst - nces anilla). of glycerol). salt ano best refode or rue","hide & seek biscuits ingredients: refined wheat flour (maida), chocolate (23%) [sugar, cocoa solids, cocoa butter, dextrose, emulsifier of vegetable origin (soya lecithin) and artificial flavouring substances-vanilla], sugar, refined pal oil, invert sugar syrup, raising agents [503 (ii), 500 (ii)], cocoa solids, iodised salt and emulsifier of vegeable origin (diacetyltartaric and fatty acid esters of glycerol). contains added flavours (artificial flavouring substances - vanilla)."
006,tesseract,".= tr— t —— mcmsﬁmmvm chocolate (23%) [ n emulsier, go0oabutter, dexrose, | u e i contains added flavdur ar fenoung surstarces ve o - bt rn b aas saens ot sen rormann gy l","hide & seek biscuits ingredients: refined wheat flour (maida), chocolate (23%) [sugar, cocoa solids, cocoa butter, dextrose, emulsifier of vegetable origin (soya lecithin) and artificial flavouring substances-vanilla], sugar, refined pal oil, invert sugar syrup, raising agents [503 (ii), 500 (ii)], cocoa solids, iodised salt and emulsifier of vegeable origin (diacetyltartaric and fatty acid esters of glycerol). contains added flavours (artificial flavouring substances - vanilla)."
007,paddleocr,"ingredients: refined wheat flour, edible vegetable oil (palm), sugar (18%) raising agents [503(ii), 500(i)], invert syrup, i0dised salt (0.8%), ye (st, acidit regulators [270, 341(i), 330], emulsifier (472e), dough conditioner (223) and improver5 [1101(i), 1101(), 1100()]","ingredients: refined wheat flour, edible vegetable oil (palm), sugar (18%), raising agents [503(ii), 500(ii), invert syrup, iodised salt (0.8%), yeast, acidity regulators [270, 341(i), 330], emulsifier (472e), dough conditioner (223) and improvers [1101(i), 1101(ii), 1100(i)]"
007,doctr,"ingredients: refined wheat flour, edible vegetable oil (palm), raising agents [503(i1), 500(ii)], invert syrup, todised salt (0.8%), sugar u regulators [270, 341(i), 3301, emulsifier (472e), dough conditioner yeast, acidit improvers [1101(), 1101(11), 1100(1)] (223) and 31","ingredients: refined wheat flour, edible vegetable oil (palm), sugar (18%), raising agents [503(ii), 500(ii), invert syrup, iodised salt (0.8%), yeast, acidity regulators [270, 341(i), 330], emulsifier (472e), dough conditioner (223) and improvers [1101(i), 1101(ii), 1100(i)]"
007,tesseract,"ingredients: refined wheat.flour edible vegetable 011 (palm), sugar (1331%- raising agents [503&""!)_;.. 500(ii)], invert syrup, i0dised salt (0.8% ), ye st, a(m}\'}h miﬁnﬂ}ﬁ&:m]{.mmﬁﬂﬂ (472¢), dough condition"" (273} s hprovers (11010, t10}(i), t1006]","ingredients: refined wheat flour, edible vegetable oil (palm), sugar (18%), raising agents [503(ii), 500(ii), invert syrup, iodised salt (0.8%), yeast, acidity regulators [270, 341(i), 330], emulsifier (472e), dough conditioner (223) and improvers [1101(i), 1101(ii), 1100(i)]"
008,paddleocr,"reiwhey protein isolate (2%) fructo-oligosaccharides rebiotic fibre(3%), dark chocolate %) (sugar, cocoa solids, emusi cashew butter, milk protein concentrate, butter, honey, hazelnuts (4%) and jowar millet crisp.contains added flavours (nature identical flavouring substance (coffee extract). allergen declaration: product proprietary food: o1.7 dairy-based desserts conains milk solids, sulphites & hazelnut. processed in a facility that also processes peanuts, tree nuts, nutritional values","ingredients. whey protein isolate (22%), fructo-oligoraccharides (prebiotic fiber) (13%), dark chocolate (12%) (sugar, cocoa solids, emulsifier (ins 332)), cashew butter, milk protein concentrate, butter, honey, hazelnuts (4%) and jowar millet crisp. contains added flavours (nature identical flavouring substance (coffee extract). allergen declaration: product contains milk solids, sulphites & hazelnut. processed in a facility that also processes peanuts, tree nuts,"
008,doctr,"ngrecients.whey protein isolate (22%), faucto-oligosacharides (prebiotic fibre) (13%), dark chocolate (12%) (sugar, cocoa solids, emusifier ns322) cashew butter, milkprotein concentrate, butter, honey, hazelnuts (4%)andjowar millet.crisp. containsaddedravoursquature dentclannurangunn-substance (coffee extract). allergen declaration: product proprietary food: 01.7dainy-basedesens comair <solids, sulphites & hazelnut. processed in a facility that also processes peanuts, tree nuts, nutritional values i*nor ceal","ingredients. whey protein isolate (22%), fructo-oligoraccharides (prebiotic fiber) (13%), dark chocolate (12%) (sugar, cocoa solids, emulsifier (ins 332)), cashew butter, milk protein concentrate, butter, honey, hazelnuts (4%) and jowar millet crisp. contains added flavours (nature identical flavouring substance (coffee extract). allergen declaration: product contains milk solids, sulphites & hazelnut. processed in a facility that also processes peanuts, tree nuts,"
008,tesseract,"ing:ecic tswhey protein isolae (223) jsucla;diigosaccharides (prebiotic fire) (13%), dark chocoate (12%) (sugar, cocoa solids, emusifer” psaz &e— . mik protgin concentrate, butter, ho muﬁzwmmmm»smmmm eme l substance (coffee extract) declaration: proprietary food: 01.7 dairy-based deses ©on ains ik sods, sk ssed in a facility that also processes peanuts, tree nuts, fpteettrsets","ingredients. whey protein isolate (22%), fructo-oligoraccharides (prebiotic fiber) (13%), dark chocolate (12%) (sugar, cocoa solids, emulsifier (ins 332)), cashew butter, milk protein concentrate, butter, honey, hazelnuts (4%) and jowar millet crisp. contains added flavours (nature identical flavouring substance (coffee extract). allergen declaration: product contains milk solids, sulphites & hazelnut. processed in a facility that also processes peanuts, tree nuts,"
009,paddleocr,"ingredients : mango pieces (65%), edible common salt, water, cottonseed oil, chilli powder spices and condiments, acidity regulator (ins 260) and asafoetida","ingredients : mango pieces (65%), edible common salt, water, cottonseed oil, chili powder, spices and condiments, acidity regulator (ins 260) and asafoetida."
009,doctr,"ingredients : mango pieces 65%), edible common salt, water, cottonseed oil, chilli powder, spices and condiments, acidity regulator (ins 260) and asafoetida.","ingredients : mango pieces (65%), edible common salt, water, cottonseed oil, chili powder, spices and condiments, acidity regulator (ins 260) and asafoetida."
009,tesseract,"n e spicesand condimencs, acidy regutor (ns 260) ‘","ingredients : mango pieces (65%), edible common salt, water, cottonseed oil, chili powder, spices and condiments, acidity regulator (ins 260) and asafoetida."
010,paddleocr,"ingredients: tomato puree (38%), salt, tamarind concentrate edble vegetable oll, red chill powder (%), mustard, acetic turmeric powder. contains permitted class ii preservative ins 211","ingredients: tomato puree (38%), salt, tamarind concentrate, edible vegetable oil, red chili powder (9%), mustard, acetic acid, blackgram dal, garlic, fenugreek powder, curry leaves, coriander powder, cumin powder, bengalgram dal, asafoetida, turmeric powder. contains permitted class ii preservative ins 211"
010,doctr,"ingredients: tomato puree (38%),salt, tamarind.concenta edible vegetable oll, red chilli powder (9%), mustard, acetic acid, blackgram dal, garlic, fenugreek powder, curry leaves corlander powder, cumin powder, bengalgram dal,asafoettad turmeric powder. contains permitted class ii preservative ins 211","ingredients: tomato puree (38%), salt, tamarind concentrate, edible vegetable oil, red chili powder (9%), mustard, acetic acid, blackgram dal, garlic, fenugreek powder, curry leaves, coriander powder, cumin powder, bengalgram dal, asafoetida, turmeric powder. contains permitted class ii preservative ins 211"
010,tesseract,": tomato pures (38%), sait, tamarind concenfo &mmmm} m%m garlic, fenugreek powder, leaves: corlander powder, cumin powder, bengalgram dal, asafoeid tumeric powder. ""_hdmimm“ih","ingredients: tomato puree (38%), salt, tamarind concentrate, edible vegetable oil, red chili powder (9%), mustard, acetic acid, blackgram dal, garlic, fenugreek powder, curry leaves, coriander powder, cumin powder, bengalgram dal, asafoetida, turmeric powder. contains permitted class ii preservative ins 211"
011,paddleocr,"ingredients: greek yogurt (pasteurized double toned milk, milk solids, permitted starter cultures), processed blueberry pulp (sugar,blueberry puree,water, pectin ( ins 440), lemon juice concentrate) total fruit content: 3%","ingredients: greek yogurt (pasteurized double toned milk, milk solids, permitted started cultures), processed blueberry pulp (sugar, blueberry puree, water, pectin ( ins 440), lemon juice concentrate) total fruit content: 3%"
011,doctr,"ingredients: greek yogurt pasteurized double toned milk, milk solids, permitted starter cultures), processed blueberry pulp sugar,blueberry puree,water, pectin i (ins 440), lemon juice concentrate) total fruit content: 3%","ingredients: greek yogurt (pasteurized double toned milk, milk solids, permitted started cultures), processed blueberry pulp (sugar, blueberry puree, water, pectin ( ins 440), lemon juice concentrate) total fruit content: 3%"
011,tesseract,"ingredients: greek yogurt (pasteurized double toned milk, milk solids, permitted starter cultures), processed blueberry pulp (sugar,blueberry puree,water, pectin ( ins 440), lemon juice concentrate) total fruit content: 3%","ingredients: greek yogurt (pasteurized double toned milk, milk solids, permitted started cultures), processed blueberry pulp (sugar, blueberry puree, water, pectin ( ins 440), lemon juice concentrate) total fruit content: 3%"
012,paddleocr,"ingredients: refined wheat flour (maida), sugar, edible vegetable fat, palmolein, invert sugar, cocoa solids (2.3%*), leavening agents (5oo(ii), 5o3(ii). lodised salt, emulsifier (322). contains added flavour (nature identical twi flavouring substances).","ingredients: refined wheat flour (maida), sugar, edible vegetable fat, palmolein, invert sugar, cocoa solids (2.3%*), leavening agents (500(ii), 503(ii)), iodised salt, emulsifier (322). contains added flavour (nature identical flavouring substances)."
012,doctr,"ingredients: refined wheat flour maida),sugar, à edible vegetable fat, palmolein, invert sugar, cocoa solids 2.3%*),leavening agents 500(1), 503(11), odised salt, emulsifier (322). contains, added flavour(natureidentical twi flavouringsubstances) -","ingredients: refined wheat flour (maida), sugar, edible vegetable fat, palmolein, invert sugar, cocoa solids (2.3%*), leavening agents (500(ii), 503(ii)), iodised salt, emulsifier (322). contains added flavour (nature identical flavouring substances)."
012,tesseract,"ingredients: refined wheat flour (maida), sugar, l e oot lt ao i, 5030, tosed o lot 23 samssaronmoorc. 4t vw] fnourngslestiies, p","ingredients: refined wheat flour (maida), sugar, edible vegetable fat, palmolein, invert sugar, cocoa solids (2.3%*), leavening agents (500(ii), 503(ii)), iodised salt, emulsifier (322). contains added flavour (nature identical flavouring substances)."
013,paddleocr,"ingredients: physically refined rice bran oil. refined sunflower oil antioxidants (ins 319, 330, 304), anti foaming agents (ins 900a), vitamins","ingredients: physically refined rice bran oil, refined sunflower oil, antioxidants (ins 319, 330, 304), anti foaming agents (ins 900a), vitamins"
013,doctr,"ingredients: physically refined rice bran oil, refined sunflower oil, antioxidants (ins 319, 330, 304), anti foaming agents (ins 900a), vitamins","ingredients: physically refined rice bran oil, refined sunflower oil, antioxidants (ins 319, 330, 304), anti foaming agents (ins 900a), vitamins"
013,tesseract,"} tﬂ\’qﬂid\_i[vs‘)1i#h‘gh’x\‘!'/t=l=fl{lil\:!ﬁ:um\k-‘sllk/l‘,ﬁiwiﬂ‘e‘ll,‘ﬂ?y.'ﬂ'fﬁfﬁ)l: - antioxidants (ins 319, 330, 304), anti foaming agents (ins 900a), vitamins","ingredients: physically refined rice bran oil, refined sunflower oil, antioxidants (ins 319, 330, 304), anti foaming agents (ins 900a), vitamins"
014,paddleocr,ingredients scsame seeds & jaggery,ingredients sesame seed & jaggery
014,doctr,ingredients sesame sceds &jaggery,ingredients sesame seed & jaggery
014,tesseract,jingredients scsame sceds & jaggery,ingredients sesame seed & jaggery
015,paddleocr,allergens: milk and milk products ingredients: cow's milk & vinegar,allergens: milk and milk products ingredients: cow's milk & vinegar
015,doctr,allergens: milk and milk products ingredients: cow's milk & vinegar,allergens: milk and milk products ingredients: cow's milk & vinegar
015,tesseract,allorgons: mk and mikproducts ingrcliontor cours hah & vinogar,allergens: milk and milk products ingredients: cow's milk & vinegar
016,paddleocr,"ingredients ro-purified water (50%), rice (34%), urad dal, fenugreek and lodized salt.","ingredients ro-purified water (50%), rice (34%), urad dal, fenugreek and iodized salt."
016,doctr,"a ingredients ro-purified water (50%),rice (34%), urad dal, fenugree - and odized salt.","ingredients ro-purified water (50%), rice (34%), urad dal, fenugreek and iodized salt."
016,tesseract,"(%] incredients ""ro-purified water (50%) rice (4%, urad dal, fenugreek and iodized sait","ingredients ro-purified water (50%), rice (34%), urad dal, fenugreek and iodized salt."
017,paddleocr,"ingredients: macaroni (pasta): semolina (100%) (from wheat] cheesy tomat tastemakermil an sar blendix mi solids & suar, sar dehydrated tato paste solidstomato past%)anticaking agent (55 & loi mi green be pepper .%) maltoextrin edible starh, cheese powder cheese (%)& maoet od ep cntaear aaaeaa may contain soya and mustard.","ingredients: macaroni (pasta): semolina (100%) [from wheat]. cheesy tomato *tastemaker: milk and sugar blend mix (milk solids & sugar), sugar, dehydrated tomato paste solids {tomato paste (13.7%), anticaking agent (551) & iodised salt}, iodised salt, mixed spices (dehydrated onion, dried garlic, roasted garlic, cumin powder, red chili, capsicum extract, black pepper, coriander extract & cumin extract), dehydrated green bell pepper (7.1%), maltodextrin, edible starch, cheese powder {cheese (3%) & maltodextrin}, potato flakes (potato, margarine, iodised salt, emulsifier (471) & turmeric), palm oil, thickener (508), flavour enhancer (635), oregano bits and acidity regulator (296). contains added flavour (natural flavour and nature identical flavouring substances). may contain soya and mustard."
017,doctr,"ingredients: ""macaroni pasta):semolina (100%) [from wheat). cheesytomato tastemaker: milkand sugarblend mix (miksolids &sugar), ,sugar, denydrated tomatopaste solids tomato paste (3.7.antakaageget531/ak lodised salt,lodised salt, mixedspices dehydratedorion, dried garlic roastedgarlic, cuminpowder, red crili,capsiaum extract, black pepper, coriander extract&cumin extract), dehydrated & green bel pepper (7.1%, maltodextrin, edible stard, cheese powder cheese (3%) n. maltodextri potato flakes (potato, margarine lodisedsalt emukifier (471)& tumeric, palm 01,thickener (508),havour enhancer 635),0regano bitsandacidity regulator (296). contansadedravourinaurnatraulavouranonaturen cai alavournnssustanced maycontain soya and mustard.","ingredients: macaroni (pasta): semolina (100%) [from wheat]. cheesy tomato *tastemaker: milk and sugar blend mix (milk solids & sugar), sugar, dehydrated tomato paste solids {tomato paste (13.7%), anticaking agent (551) & iodised salt}, iodised salt, mixed spices (dehydrated onion, dried garlic, roasted garlic, cumin powder, red chili, capsicum extract, black pepper, coriander extract & cumin extract), dehydrated green bell pepper (7.1%), maltodextrin, edible starch, cheese powder {cheese (3%) & maltodextrin}, potato flakes (potato, margarine, iodised salt, emulsifier (471) & turmeric), palm oil, thickener (508), flavour enhancer (635), oregano bits and acidity regulator (296). contains added flavour (natural flavour and nature identical flavouring substances). may contain soya and mustard."
017,tesseract,"ingredients: “macaroni (pasta): semolina (100%) [from whest] cheesvtomai% ‘unmxm&dnk a%\ld s rhlen]d i (mik solids & suiar). sugat dehydrted tomato paste solids fomato paste ?!a!.?%),mﬁakigaqemlsjl & odsed ;'3. jcised salt,mivedspice (dehyated rin, d i rosled garc,cuin povder ill, capsicum etrct,back pepper, coranderextect& cumin edrac), %deramd green bl peppes (1.1%), makoden, edblstarc (hese powder{cheese (%) & vit o e ot i sl gt 1) e o of, tickener (508), favour enfancer |sx?i. owb andkdlgﬂhwr (296). conansaddedflavolr tr faiorandnatue aavurngsubstance. may contain soya and mustard.","ingredients: macaroni (pasta): semolina (100%) [from wheat]. cheesy tomato *tastemaker: milk and sugar blend mix (milk solids & sugar), sugar, dehydrated tomato paste solids {tomato paste (13.7%), anticaking agent (551) & iodised salt}, iodised salt, mixed spices (dehydrated onion, dried garlic, roasted garlic, cumin powder, red chili, capsicum extract, black pepper, coriander extract & cumin extract), dehydrated green bell pepper (7.1%), maltodextrin, edible starch, cheese powder {cheese (3%) & maltodextrin}, potato flakes (potato, margarine, iodised salt, emulsifier (471) & turmeric), palm oil, thickener (508), flavour enhancer (635), oregano bits and acidity regulator (296). contains added flavour (natural flavour and nature identical flavouring substances). may contain soya and mustard."
018,paddleocr,"ingredients: omato paste (41.35%), liquid glucose, onions, sunflower oil, water, sugar, lodized salt, red chilli flakes, acidity regulators (ins260 & ins330), mixed herbs, garlic, milk solids, mixed spices & condiments and thickeners (ins1422 & ins415). contains permitted class ii preservative (ins211).","ingredients: omato paste (41.35%), liquid glucose, onions, sunflower oil, water, sugar, iodized salt, red chilli flakes, acidity regulators (ins260 & ins330), mixed herbs, garlic, milk solids, mixed spices & condiments and thickeners (ins1422 & ins415). contains permitted class ii preservative (ins211)."
018,doctr,"ingredients: omato paste 41.35%), liquid glucose, onions, sunflower oil, water, sugar, lodized salt, red chilli flakes, acidity regulators (ins260 & ins330), mixed herbs, garlic, milk solids, mixed spices & condiments and thickeners (ins1422 & ins415). contains permitted class ii preservative (ins211).","ingredients: omato paste (41.35%), liquid glucose, onions, sunflower oil, water, sugar, iodized salt, red chilli flakes, acidity regulators (ins260 & ins330), mixed herbs, garlic, milk solids, mixed spices & condiments and thickeners (ins1422 & ins415). contains permitted class ii preservative (ins211)."
018,tesseract,"ingredients: omato paste (41.35%), liquid glucose, onions, sunflower oil, water, sugar, lodized salt, red chilli flakes, acidity regulators (ins260 & ins330), mixed herbs, garlic, milk solids, mixed spices & condiments and thickeners (ins1422 & ins415). contains permitted class il preservative (ins211).","ingredients: omato paste (41.35%), liquid glucose, onions, sunflower oil, water, sugar, iodized salt, red chilli flakes, acidity regulators (ins260 & ins330), mixed herbs, garlic, milk solids, mixed spices & condiments and thickeners (ins1422 & ins415). contains permitted class ii preservative (ins211)."
019,paddleocr,"ingredients: garlic (28%), red chilli puree, tomato paste (20.5%), onion, refined sunflower oil, lodized salt, cumin seeds and powder (1%), mustard seeds (0.5%), acidity regulator (ins 330), stabilizer (ins 415) and preservative (ns 211).","ingredients: garlic (28%), red chilli puree, tomato paste (20.5%), onion, refined sunflower oil, iodized salt, cumin seeds and powder (1%), mustard seeds (0.5%), acidity regulator (ins 330), stabilizer (ins 415) and preservative (ins 211)."
019,doctr,"ingredients: garlic 28%), redchilli purce, tomatopaste (20.5%),onion, refined sunflower oi,i lodized.salt, cumin seeds and powder (1%), mustard seeds (0.5%,acidity regulator uns 330),stabilizer (ins415)and preservative (ns211).","ingredients: garlic (28%), red chilli puree, tomato paste (20.5%), onion, refined sunflower oil, iodized salt, cumin seeds and powder (1%), mustard seeds (0.5%), acidity regulator (ins 330), stabilizer (ins 415) and preservative (ins 211)."
019,tesseract,"ingredients: garlc q8% r cll purce, tomo pt 20.5%), oicn, refined sunwer o, iz o, cumi st e ponckor (190, m s 0.5%, ackty regular ns 330, sobilizes ns 815) nd preseative ns 211,","ingredients: garlic (28%), red chilli puree, tomato paste (20.5%), onion, refined sunflower oil, iodized salt, cumin seeds and powder (1%), mustard seeds (0.5%), acidity regulator (ins 330), stabilizer (ins 415) and preservative (ins 211)."
020,paddleocr,"ingredients: water, sugar, tamarind pulp (18.5%), spices (cumin powder, chilli powder & dried ginger powder), lodized salt, thickener (ins 1442), acidity regulator (ins 260), stabilizer (ins 415) and preservative (ins 211)","ingredients: water, sugar, tamarind pulp (18.5%), spices (cumin powder, chili powder & dried ginger powder), iodized salt, thickener (ins 1442), acidity regulator (ins 260), stabilizer (ins 415) and preservative (ins 211)"
020,doctr,"ingredients: water, sugar, tamarindpulp (18.5%), spices cumin powder, chillipowder & dried ginger powder), lodized salt, thickener (ins 1442),acidity regulator (ins 260), stabilizer (ins415) and - preservative (ins211)","ingredients: water, sugar, tamarind pulp (18.5%), spices (cumin powder, chili powder & dried ginger powder), iodized salt, thickener (ins 1442), acidity regulator (ins 260), stabilizer (ins 415) and preservative (ins 211)"
020,tesseract,"‘wates sugar, tomarind pulp (18.5%), spices. cormin powides, chill powder & dricd ginger powder), ekt sk, trickenes ons 1442, acidiy regulator o) sebilizer 1n 415) and preservative (ns 211)","ingredients: water, sugar, tamarind pulp (18.5%), spices (cumin powder, chili powder & dried ginger powder), iodized salt, thickener (ins 1442), acidity regulator (ins 260), stabilizer (ins 415) and preservative (ins 211)"
